id,claim_type,knowledge_state,evidence_confidence,statement,primary_amato_source,n_evidence,amato_evidence,gaps
SCR-LIP-000001,definitional,established,moderate,"Lipedema is a distinct clinical entity separate from obesity and lymphedema, characterized by bilateral, symmetrical, painful subcutaneous fat accumulation of the lower limbs that spares the feet, although all three can coexist.",DOI:10.1590/1677-5449.202301832,2,2,No objective gold-standard diagnostic test; rests on clinical criteria and expert consensus.
SCR-LIP-000002,diagnostic,probable,moderate,"Clinical signs that help diagnose lipedema and distinguish it from lymphedema include a usually negative Kaposi-Stemmer sign, the cuff sign with foot sparing, fat painful on palpation, easy bruising, and minimal pitting edema (Stemmer becomes positive only when secondary lymphedema/lipolymphedema develops).",DOI:10.1590/1677-5449.202301832,2,2,Signs lack validated sensitivity/specificity; diagnosis remains clinical and operator-dependent.
SCR-LIP-000003,definitional,emerging,low,"In the Brazilian Delphi consensus, experts agreed that lipedema and obesity do not have a causal relationship and that BMI is of limited value in differentiating lipedema from obesity.",DOI:10.1590/1677-5449.202301832,1,1,Expert-consensus position with low self-rated evidence; obesity is a common comorbidity blurring the boundary.
SCR-LIP-000004,causal,emerging,low,"Lipedema is a multifactorial disorder whose symptoms are closely linked to female hormonal transitions (puberty, pregnancy, menopause) and to chronic low-grade inflammation, on a polygenic predisposition.",amato_2020_lipedema-unique-entity.pdf,2,2,Specific genes/mediators hypothesized rather than demonstrated in controlled studies.
SCR-LIP-000005,diagnostic,emerging,low,"In women undergoing venous ultrasound, dermal/subcutaneous thickness measurements at the pre-tibial region, anterior thigh and lateral leg can distinguish clinically diagnosed lipedema from non-lipedema in the lower limbs.",DOI:10.1177/02683555211002340,1,1,Single-center convenience sample; cutoffs not externally validated.
SCR-LIP-000006,diagnostic,emerging,low,"For ultrasound diagnosis of lower-limb lipedema, subcutaneous thickness cutoffs of >11.7 mm (pre-tibial), >17.9 mm (anterior thigh), >8.4 mm (lateral leg) and >7.0 mm (medial supramalleolar) provide reproducible reference values.",DOI:10.1177/02683555211002340,1,1,Derived from a single Brazilian cohort; no prospective multicenter validation.
SCR-LIP-000007,clinical_association,probable,low,"Because obesity is commonly defined by BMI alone (which disregards fat distribution), lipedema is frequently underdiagnosed when workup stops at an established obesity diagnosis; ~81% of lipedema patients are classified overweight/obese by BMI.",Amato_2021_Sobrediagnostico.pdf,2,2,Supported by expert reasoning and observational frequency; no quantified missed-diagnosis rate.
SCR-LIP-000008,diagnostic,emerging,low,"A self-administered lipedema screening questionnaire achieves a high probability of correct classification (~91%) between women with and without lipedema, supporting its use to raise clinical suspicion.",DOI:10.1590/1677-5449.200114,1,1,Small convenience sample at a specialized clinic; reference standard clinical only.
SCR-LIP-000009,definitional,emerging,low,"The Brazilian Portuguese lipedema symptoms questionnaire (QuASiL) was translated, culturally adapted and validated, showing high comprehension and symptom-intensity scores that correlate with limb volume by segmental bioimpedance.",DOI:10.1590/1677-5449.200049,1,1,"Validated as a symptoms scale, not a diagnostic criterion."
SCR-LIP-000010,diagnostic,emerging,low,"Qualitative ultrasound patterns of the dermis and hypodermis (Lipedema Dermal and Hypodermal Classification, LDHC) describe structural changes (septal alteration, echogenic nodules, dermal-hypodermal junction disruption) that may correspond to stages of inflammation and fibrosis.",DOI:10.4236/jbise.2025.184008,1,1,Retrospective; no interobserver validation or clinical-stage correlation.
SCR-LIP-000011,diagnostic,speculative,very_low,Echogenic (hyperechoic) subcutaneous nodules in lipedema can be subclassified into at least four morphological variants (LDHC 3a-3d) whose distribution corresponds most strongly to the patient's most painful site.,DOI:10.4236/jbise.2025.1810029,1,1,Small descriptive series; no histopathologic confirmation of subtypes.
SCR-LIP-000012,epidemiologic,emerging,low,"The estimated prevalence of probable lipedema among adult Brazilian women is approximately 12.3%, indicating a common rather than rare condition.",DOI:10.1590/1677-5449.202101981,2,2,"Screening-based, not clinically confirmed; self-report/selection bias; may overstate true prevalence."
SCR-LIP-000013,epidemiologic,emerging,low,"Because ~49% of women have varicose veins and ~11% have lipedema, a substantial proportion of women undergoing venous ultrasound for varicose veins also have coexisting lipedema, making the venous exam an opportunity for lipedema screening.",DOI:10.1177/02683555211002340,1,1,Coexistence frequencies partly from external literature; vascular-clinic selection bias.
SCR-LIP-000014,clinical_association,emerging,low,"Lipedema occurs in men with the classical phenotype (bilateral, symmetrical, foot-sparing lower-limb fat accumulation, negative Stemmer sign), although it almost exclusively affects women and male occurrence is rare.",DOI:10.7759/cureus.87332,2,2,Small retrospective series without histopathology; true male prevalence uncertain.
SCR-LIP-000015,clinical_association,emerging,low,Women meeting lipedema screening criteria have a higher prevalence of positive ADHD self-report (ASRS-18) than women without lipedema (76.9% vs 54%; RR 1.424).,DOI:10.7759/cureus.35570,1,1,"Self-reported screening, convenience sampling, no confounder adjustment, single study."
SCR-LIP-000016,clinical_association,emerging,low,"Higher lipedema screening scores correlate positively with higher ADHD (ASRS-18) scores, supporting a dimensional co-occurrence of the two conditions.",DOI:10.7759/cureus.35570,1,1,"Correlation does not establish causation; questionnaire-based, single cross-sectional sample."
SCR-LIP-000017,clinical_association,emerging,moderate,"Joint hypermobility (Hypermobility Spectrum Disorder) is a frequent comorbidity of lipedema, present in approximately 44% of adult patients in a cross-sectional cohort.",DOI:10.3390/jcm14207195,1,0,Single-center cross-sectional; hypermobility cutoffs vary; not Amato-authored.
SCR-LIP-000018,clinical_association,probable,low,"Secondary lymphedema (lipolymphedema) can develop as a complication of advanced lipedema due to chronic lymphatic overload, with lymph stasis becoming more evident at advanced disease stages.",DOI:10.1590/1677-5449.202301832,1,1,"Lymphatic dysfunction in early lipedema is debated; statement is consensus-level (level B/C), not from longitudinal imaging."
SCR-LIP-000019,clinical_association,probable,low,"Increased limb adipose tissue in lipedema can impair mobility and hinder activities of daily living, contributing to functional disability beyond the cosmetic burden.",DOI:10.1590/1677-5449.202301832,1,1,Functional impact endorsed by expert consensus; not quantified here with standardized disability instruments.
SCR-LIP-000020,epidemiologic,emerging,low,"Thyroid disorders may be more frequent in lipedema than in lymphedema, with a cross-sectional cohort reporting thyroid disease in 24.4% of lipedema vs 14.89% of lymphedema patients.",DOI:10.3390/jcm14207195,1,0,"Thyroid disorder not Hashimoto-specific; single cohort, no age/BMI adjustment; not Amato-authored."
SCR-LIP-000021,clinical_association,emerging,low,"Lipedema and fibromyalgia frequently co-occur: a cross-sectional study found lipedema in 50% of women meeting ACR fibromyalgia criteria, with longer fibromyalgia diagnostic delay and younger menarche as risk factors.",DOI:10.1177/02683555251321042,1,0,"Single-center, no non-FM control; directionality unclear; not Amato-authored."
SCR-LIP-000022,clinical_association,emerging,low,"Knee pain is a common musculoskeletal feature of lipedema, reported by 58.1% of women screening positive for lipedema in a Brazilian population study.",DOI:10.1590/1677-5449.202101981,1,1,Self-reported via screening questionnaire; no imaging confirmation; no BMI-matched comparator.
SCR-LIP-000023,clinical_association,emerging,low,Women with clinically diagnosed lipedema show a higher prevalence of the celiac-associated HLA-DQ2/DQ8 haplotypes than the general population (any HLA 61.1% vs 53.7%; both haplotypes 7.4% vs 1.2%).,DOI:10.7759/cureus.41594,2,1,No concurrent control; selection bias toward symptomatic patients; cannot establish causation.
SCR-LIP-000024,clinical_association,emerging,low,"In women with lipedema, food-specific IgG testing shows a paradox: a slightly higher number of positive food reactions despite markedly lower total IgG (1747 vs 2975 AU; p<0.001).",DOI:10.7759/cureus.93788,1,1,IgG subclasses not measured; possible diet/elimination confounding; food-IgG clinical meaning controversial.
SCR-LIP-000025,clinical_association,emerging,low,"In a nationally representative NHANES sample, women with serologically confirmed celiac disease had significantly lower gynoid percent fat than non-celiac women (39.5% vs 42.6%; -7.4%; p=0.0007).",DOI:10.64898/2025.12.01.25341350,2,2,Reverse causation partly addressed by BMI strata; n=11 precludes adjustment; DXA proxy not validated against clinical lipedema.
SCR-LIP-000026,clinical_association,emerging,low,"The reduced gynoid adiposity associated with celiac disease in NHANES persisted among overweight/obese women (-8.7% overall, p=0.005; -11.3% in obese, p=0.039), arguing against leanness/malnutrition as the sole explanation.",DOI:10.64898/2025.12.01.25341350,1,1,Extremely small cell counts; cannot exclude all reverse causation.
SCR-LIP-000027,clinical_association,emerging,low,"In NHANES women, a DXA-defined lipedema-like phenotype (leg-to-trunk fat ratio >90th percentile) was associated with a favorable immunometabolic profile, including 44.2% lower HOMA-IR (p<0.001) and 7.6% lower neutrophil-to-lymphocyte ratio (p=0.012).",DOI:10.64898/2025.12.01.25341350,1,1,Phenotype proxy unvalidated against clinical lipedema; possible misclassification; no causal direction.
SCR-LIP-000028,epidemiologic,emerging,low,"In NHANES women aged 20-59, a lipedema-like peripheral fat distribution was inversely associated with cancer prevalence: each 1-SD increase in leg-to-trunk fat ratio was associated with 20% lower adjusted odds of cancer (OR 0.795; 95%CI 0.666-0.948; p=0.011).",DOI:10.64898/2025.12.02.25341445,1,1,Cross-sectional prevalence not incidence; self-reported; residual confounding; cannot distinguish clinical lipedema from peripheral obesity.
SCR-LIP-000029,epidemiologic,emerging,low,The inverse association between lipedema-like peripheral fat distribution and cancer prevalence was most robust in women without obesity (OR 0.67 per 1-SD LTR; 95%CI 0.53-0.85; p=0.0007).,DOI:10.64898/2025.12.02.25341445,1,1,Underpowered obesity subgroup; survivorship bias; no incidence data.
SCR-LIP-000030,therapeutic,probable,moderate,"In women with lipedema, liposuction (tumescent/large-volume) produces significant post-operative reductions in spontaneous pain, edema, bruising, mobility impairment and quality-of-life impairment versus pre-operative status.",DOI:10.7759/cureus.55260,1,1,No randomized/controlled comparison; uncontrolled self-reported before-after series; durability uncertain.
SCR-LIP-000031,prognostic,probable,moderate,"Liposuction is not a definitive cure for lipedema: roughly half of patients (~51%) still require ongoing conservative (decongestive) therapy after surgery, supporting its role as an adjunct rather than first-line monotherapy.",DOI:10.7759/cureus.55260,1,1,Definitions of 'need' varied; no controlled long-term follow-up.
SCR-LIP-000032,therapeutic,emerging,low,"Liposuction for lipedema by an experienced team is a safe procedure with a low rate of major complications (no DVT, PE, necrosis or severe anemia observed; minor complications ~1%), though seroma occurs in ~18%.",DOI:10.1007/s00266-026-05774-7,1,1,Retrospective single-center/single-team; generalizability to less experienced settings unproven.
SCR-LIP-000033,causal,emerging,low,"In lipedema liposuction, higher relative aspirated fat volume (per 1% body weight) and concomitant minor surgical procedures are independent risk factors for postoperative seroma.",DOI:10.1007/s00266-026-05774-7,1,1,Single-center retrospective; wide CIs; needs prospective validation.
SCR-LIP-000034,therapeutic,speculative,very_low,"Ultrasound-assisted liposuction may reduce postoperative seroma risk in lipedema surgery (0 seromas among ultrasound-assisted cases vs 18.4% otherwise), although this finding is hypothesis-generating only.",DOI:10.1007/s00266-026-05774-7,1,1,Small subgroup (n=14); zero-event problem; not statistically significant; needs controlled validation.
SCR-LIP-000035,therapeutic,probable,moderate,"In women with lipedema, a low-carbohydrate high-fat (ketogenic) diet significantly reduces body weight, BMI and waist/hip circumferences over a mean of ~16 weeks.",DOI:10.3390/nu16193276,1,1,"Few studies, modest N, no long-term follow-up; lipedema-specific fat vs general weight loss not isolated."
SCR-LIP-000036,therapeutic,emerging,low,"In women with lipedema, a ketogenic (low-carbohydrate, high-fat) diet produces a small but statistically significant reduction in pain sensitivity.",DOI:10.3390/nu16193276,1,1,Heterogeneous self-report pain scales; causal separation from weight loss unproven.
SCR-LIP-000037,therapeutic,emerging,low,"Non-surgical management of lipedema (anti-inflammatory diet, manual lymphatic drainage, aquatic exercise, antioxidant phytotherapeutics) can improve symptoms and reduce limb volume across disease stages in selected patients.",DOI:10.12659/AJCR.934406,1,1,"Only 5 selected cases, no control, co-interventions preclude attribution, no durability data."
SCR-LIP-000038,therapeutic,emerging,low,"An individualized, multidisciplinary approach combining conservative anti-inflammatory therapy with staged liposuction (rather than liposuction as a sole cure) is proposed as the optimal treatment model for lipedema.",DOI:10.7759/cureus.55260,2,2,Synthesized from low-level evidence + expert opinion; no head-to-head trial of staged vs single-session.
SCR-LIP-000039,clinical_association,probable,moderate,"In women with lipedema, hormonal contraceptive use is associated with self-reported symptom worsening (58.8% of users; 15.1% reporting symptom onset coinciding with contraceptive initiation).",DOI:10.7759/cureus.99189,1,1,"Self-reported, cross-sectional, social-media-recruited; recall bias; no objective measures."
SCR-LIP-000040,therapeutic,established,moderate,"There is no scientific evidence supporting gestrinone for lipedema: a PRISMA systematic review identified zero clinical trials, observational studies or case reports evaluating it, particularly as subcutaneous implants.",DOI:10.7759/cureus.97213,1,1,Absence of evidence (no studies) rather than demonstrated lack of effect; implant pharmacokinetics/safety never studied.
SCR-LIP-000041,clinical_association,emerging,low,Lipedema-affected gluteofemoral adipose tissue shows elevated tissue histamine (~2.2-fold vs controls) in a preliminary metabolomic study.,DOI:10.7417/CT.2023.2496,1,0,Preliminary finding needing independent replication with quantitative assays and matched controls.
SCR-LIP-000042,clinical_association,probable,moderate,"Lipedema gluteofemoral adipose tissue displays a dominant M2 macrophage transcriptomic signature with CD163+ macrophage enrichment (2.58-fold by qPCR; 1171 differentially expressed genes), indicating a type-2 immune microenvironment.",DOI:10.3389/fimmu.2022.1004609,1,0,Cellular source of IL-4/IL-13 not directly identified; mast-cell- vs hypoxia-driven not resolved.
SCR-LIP-000043,diagnostic,emerging,low,Lipedema has a distinctive quantitative sensory testing (QST) signature in the affected limb — isolated lowered pressure pain threshold and raised vibration detection threshold with spared thermal thresholds — yielding high diagnostic accuracy (PVTH-score AUC 0.958).,DOI:10.1097/PR9.0000000000001155,1,0,Single study; mechanism of the pattern not established; needs independent replication.
SCR-LIP-000044,definitional,established,low,"Lipedema is defined by a disproportionate, symmetrical accumulation of subcutaneous adipose tissue in the limbs relative to the trunk that is characteristically resistant to conventional weight-loss methods (diet and exercise), distinguishing it from common obesity.",DOI:10.1590/1677-5449.202301832,1,1,"Consensus-level statement (level B/C); the weight-loss resistance is clinically observed, not quantified in controlled trials."
SCR-LIP-000045,clinical_association,probable,low,Patients with lipedema frequently report swelling and a sensation of heaviness in the affected limbs.,DOI:10.1590/1677-5449.202301832,1,1,Symptom endorsed by expert consensus; not quantified against controls.
SCR-LIP-000046,causal,emerging,low,"Several findings suggest a hereditary predisposition to lipedema, with frequent family history among affected women.",DOI:10.1590/1677-5449.202301832,1,1,Specific genes and inheritance pattern not established; based on family history and expert consensus.
SCR-LIP-000047,clinical_association,probable,low,"Lipedema can negatively impact mental health and quality of life, and delayed diagnosis or late treatment worsens symptom burden and psychological well-being.",DOI:10.1590/1677-5449.202301832,1,1,Psychosocial impact endorsed by consensus; not measured with validated instruments in this statement.
SCR-LIP-000048,diagnostic,established,low,"The diagnosis of lipedema is primarily clinical, relying on the patient's medical history, physical examination, and exclusion of differential diagnoses (notably obesity and lymphedema).",DOI:10.1590/1677-5449.202301832,1,1,No validated objective gold-standard test; diagnosis remains clinical and operator-dependent.
SCR-LIP-000049,therapeutic,probable,low,"Comprehensive management of lipedema requires a multidisciplinary team (e.g., vascular surgery, endocrinology, orthopedics, plastic surgery, physiotherapy, nutrition, psychiatry/psychology and gynecology) addressing both physical and mental health.",DOI:10.1590/1677-5449.202301832,1,1,Care-model recommendation from expert consensus; not validated against single-specialty management in a trial.
SCR-LIP-000050,therapeutic,probable,low,"Conservative management (lifestyle and dietary changes, compression therapy, low-impact exercise) is first-line for lipedema, and surgery (liposuction) should be considered only after about one year of clinical treatment, prioritizing mobility and symptom relief over aesthetic outcomes.",DOI:10.1590/1677-5449.202301832,1,1,"Sequencing/indication is expert-consensus guidance, not derived from a controlled comparison of timing strategies."
